0.623,0.739,1.362,0.116,0.460,0.358,1.985,2.840
0.468,0.068,0.536,0.400,0.032,0.438,1.005,0.673
0.288,0.887,1.175,0.599,0.256,0.153,1.463,2.950
0.023,0.036,0.059,0.014,0.001,0.022,0.082,0.132
0.962,0.345,1.307,0.616,0.332,0.715,2.269,1.998
0.835,0.912,1.747,0.076,0.761,0.437,2.582,3.570
0.216,0.613,0.830,0.397,0.133,0.134,1.046,2.056
0.289,0.112,0.401,0.178,0.032,0.260,0.691,0.625
0.897,0.839,1.735,0.058,0.752,0.488,2.632,3.413
0.189,0.644,0.833,0.455,0.122,0.115,1.022,2.121
0.351,0.855,1.206,0.503,0.300,0.189,1.557,2.915
0.905,0.048,0.953,0.856,0.044,0.863,1.858,1.050
0.677,0.864,1.541,0.188,0.585,0.363,2.218,3.269
0.189,0.919,1.108,0.731,0.173,0.098,1.297,2.947
0.046,0.686,0.732,0.639,0.032,0.028,0.778,2.103
0.587,0.742,1.329,0.155,0.436,0.337,1.916,2.814
0.628,0.352,0.980,0.276,0.221,0.464,1.608,1.685
0.215,0.532,0.747,0.317,0.115,0.140,0.963,1.812
0.840,0.206,1.046,0.634,0.173,0.696,1.886,1.458
0.650,0.406,1.055,0.244,0.264,0.462,1.705,1.867
0.641,0.150,0.791,0.491,0.096,0.558,1.433,1.091
0.183,0.759,0.942,0.576,0.139,0.104,1.125,2.461
0.079,0.161,0.240,0.082,0.013,0.068,0.319,0.562
0.666,0.689,1.354,0.023,0.459,0.394,2.020,2.732
0.415,0.979,1.394,0.564,0.407,0.210,1.810,3.353
0.002,0.752,0.754,0.749,0.002,0.001,0.756,2.257
0.849,0.962,1.812,0.113,0.817,0.433,2.661,3.736
0.667,0.864,1.531,0.197,0.576,0.358,2.198,3.260
0.882,0.699,1.581,0.183,0.616,0.519,2.462,2.978
0.924,0.369,1.293,0.555,0.341,0.675,2.217,2.031
0.239,0.169,0.408,0.071,0.040,0.205,0.647,0.745
0.782,0.907,1.689,0.125,0.709,0.410,2.471,3.503
0.984,0.215,1.200,0.769,0.212,0.810,2.184,1.630
0.037,0.358,0.395,0.321,0.013,0.027,0.432,1.110
0.974,0.625,1.598,0.349,0.608,0.599,2.572,2.847
0.803,0.323,1.127,0.480,0.260,0.607,1.930,1.774
0.952,0.427,1.379,0.526,0.406,0.668,2.332,2.233
0.580,0.528,1.109,0.052,0.307,0.380,1.689,2.165
0.274,0.106,0.380,0.169,0.029,0.248,0.655,0.592
0.902,0.429,1.331,0.473,0.387,0.631,2.233,2.190
0.390,0.178,0.568,0.212,0.069,0.331,0.957,0.924
0.895,0.124,1.018,0.771,0.111,0.796,1.913,1.266
0.336,0.852,1.188,0.516,0.286,0.181,1.524,2.893
0.582,0.559,1.142,0.023,0.326,0.374,1.724,2.260
0.428,0.992,1.420,0.564,0.425,0.215,1.848,3.403
0.472,0.546,1.019,0.074,0.258,0.305,1.491,2.111
0.213,0.428,0.641,0.215,0.091,0.149,0.854,1.496
0.371,0.232,0.603,0.139,0.086,0.301,0.973,1.066
0.143,0.060,0.203,0.083,0.009,0.135,0.345,0.322
0.751,0.623,1.373,0.128,0.467,0.463,2.124,2.618
0.620,0.694,1.314,0.074,0.430,0.366,1.934,2.703
0.431,0.275,0.706,0.156,0.119,0.338,1.138,1.256
0.272,0.976,1.248,0.704,0.265,0.137,1.519,3.200
0.883,0.841,1.724,0.042,0.743,0.480,2.607,3.406
0.042,0.172,0.214,0.130,0.007,0.036,0.256,0.558
0.044,0.637,0.680,0.593,0.028,0.027,0.724,1.954
0.603,0.664,1.267,0.060,0.400,0.363,1.870,2.594
0.690,0.791,1.481,0.101,0.546,0.385,2.171,3.063
0.948,0.130,1.079,0.818,0.124,0.839,2.027,1.340
0.760,0.994,1.754,0.234,0.755,0.381,2.514,3.742
0.732,0.609,1.340,0.123,0.445,0.455,2.072,2.558
0.431,0.976,1.408,0.545,0.421,0.218,1.839,3.361
0.282,0.629,0.911,0.347,0.177,0.173,1.193,2.169
0.860,0.293,1.153,0.568,0.252,0.666,2.014,1.739
