0.73761,6.26583,7.00344,6.61318,1.49397,9.87991
1.7584,0.16593,1.92433,1.37524,5.53866,7.61701
0.78238,0.64441,1.42679,1.15541,2.69397,3.11263
0.52484,4.97903,5.50387,0.79984,1.2471,0.99748
3.03697,1.9342,4.97117,0.15648,7.28788,1.14037
1.9728,2.70714,4.67994,1.02047,1.2363,1.26161
0.60267,10.67583,11.27851,0.28949,0.2173,0.06291
9.18434,0.07743,9.26177,1.94791,1.35252,2.63459
4.72906,2.3642,7.09326,0.89375,4.93842,4.4137
0.4909,2.8704,3.36129,0.46722,1.5509,0.72461
1.01571,1.85928,2.875,0.92407,1.86878,1.72689
0.47711,0.12657,0.60368,0.20975,1.02313,0.2146
0.24119,0.88567,1.12686,3.2672,0.10959,0.35807
0.23159,0.77584,1.00743,5.59656,2.19987,12.31169
8.56735,3.1909,11.75825,1.93476,1.65658,3.20509
2.63236,0.71431,3.34667,1.20114,5.69424,6.83956
1.27862,4.12165,5.40026,1.75836,2.01978,3.55151
0.5682,2.11804,2.68624,7.39797,0.84894,6.28042
1.45251,1.55987,3.01238,1.72577,1.81184,3.12683
1.41465,0.08049,1.49514,1.51186,1.54775,2.33998
1.3317,5.40825,6.73995,5.22463,0.21412,1.11867
5.56449,8.94131,14.5058,16.95225,0.73428,12.44767
0.69915,2.24704,2.94619,11.37917,0.32155,3.65892
1.34008,5.7949,7.13499,2.504,2.36424,5.92005
0.0642,6.8136,6.8778,4.16681,1.11043,4.62695
2.91672,3.32298,6.2397,3.28163,0.0318,0.10436
1.41621,2.10308,3.51929,10.13342,3.52379,35.70804
0.60525,2.5706,3.17585,1.02557,4.28937,4.39905
2.76003,1.32979,4.08981,1.58918,2.91217,4.62795
19.2335,2.10768,21.34118,1.05252,0.00227,0.00239
2.17002,1.38203,3.55206,0.7723,8.2742,6.39019
1.93807,1.71558,3.65365,1.03673,0.36571,0.37914
1.98599,0.07622,2.06221,1.06273,0.46425,0.49337
0.69293,4.34184,5.03477,1.94553,3.7631,7.32124
2.40053,2.3518,4.75234,4.74461,0.90789,4.30756
1.99115,0.68249,2.67363,3.56013,6.92077,24.63888
11.2256,8.74733,19.97293,1.42216,0.33989,0.48338
1.64599,2.112,3.75798,1.89758,6.99092,13.26582
0.17351,0.79009,0.96359,2.7111,7.17153,19.44274
3.51447,10.22189,13.73636,8.71525,1.0539,9.18497
1.39771,2.14024,3.53795,0.53907,0.44259,0.23859
1.02208,2.14582,3.1679,1.81345,0.79056,1.43363
3.64947,2.81007,6.45955,2.01385,2.58698,5.20977
2.77318,1.73784,4.51101,3.38678,4.22421,14.30649
4.2757,2.04269,6.31839,0.64923,0.83299,0.5408
0.09247,0.18469,0.27716,4.85799,3.52406,17.11985
0.72347,3.94217,4.66564,4.45735,2.34513,10.45308
2.98678,2.54137,5.52815,0.10862,1.36974,0.14878
3.85072,0.00486,3.85558,6.07553,2.15129,13.07023
