8.779,11.051,6.949,5.922,1.000
12.559,3.749,3.219,5.677,1.000
5.070,6.121,1.849,4.673,1.000
2.088,3.863,3.566,3.107,1.000
4.506,10.073,7.220,9.753,1.000
19.317,7.223,6.827,1.465,1.000
4.092,6.870,15.151,8.189,1.000
5.561,3.285,8.827,7.158,1.000
9.205,7.014,3.634,3.409,1.000
1.049,13.415,3.487,5.931,1.000
9.007,2.980,0.743,2.164,1.000
8.358,5.667,8.511,11.982,1.000
4.968,1.421,8.324,5.755,1.000
8.907,10.901,5.686,4.188,1.000
7.777,5.746,3.684,2.858,1.000
15.943,10.987,6.187,2.767,1.000
3.860,19.658,4.751,2.606,1.000
14.456,3.399,1.418,18.749,1.000
3.285,2.623,4.139,2.320,1.000
2.339,5.266,8.856,8.932,1.000
2.487,20.161,11.680,2.473,1.000
2.666,3.231,14.125,10.359,1.000
8.330,7.073,6.654,2.436,1.000
3.171,0.546,5.183,7.560,1.000
1.224,4.604,5.664,7.533,1.000
1.680,6.802,7.588,12.283,1.000
7.647,1.111,7.748,2.292,1.000
9.979,0.815,5.536,7.031,1.000
3.497,9.663,3.876,5.263,1.000
7.828,3.728,3.084,9.441,1.000
9.492,2.052,2.388,1.317,1.000
6.150,0.859,10.626,5.597,1.000
8.755,13.025,2.047,0.468,1.000
7.271,0.561,4.310,9.395,1.000
5.032,2.749,5.143,8.081,1.000
8.431,11.799,14.952,0.162,1.000
7.950,6.793,0.351,11.582,1.000
5.640,2.047,2.106,10.530,1.000
7.322,5.318,4.550,6.712,1.000
12.781,4.307,15.671,2.780,1.000
4.509,5.532,10.252,4.270,1.000
11.274,2.756,12.307,11.280,1.000
5.624,4.802,11.270,4.427,1.000
4.247,4.530,4.606,5.839,1.000
1.477,7.630,4.782,7.411,1.000
10.114,7.763,8.079,10.583,1.000
15.176,11.380,6.461,1.896,1.000
6.828,1.166,10.431,6.490,1.000
3.158,3.120,11.463,7.784,1.000
3.643,12.537,9.691,5.651,1.000
1.581,6.264,8.945,5.159,1.000
3.236,6.076,4.912,3.835,1.000
5.490,0.233,7.294,4.799,1.000
2.585,10.164,2.517,7.263,1.000
11.045,0.601,18.544,10.545,1.000
1.980,2.013,4.225,1.522,1.000
7.112,7.362,3.872,4.202,1.000
1.216,1.068,10.410,1.713,1.000
4.162,2.215,16.308,17.079,1.000
6.435,2.362,7.716,1.208,1.000
9.319,14.910,1.728,12.226,1.000
2.096,0.966,1.879,4.077,1.000
10.288,12.078,9.545,4.325,1.000
0.794,3.085,1.689,1.297,1.000
2.820,2.713,1.618,5.167,1.000
3.395,2.684,9.854,0.989,1.000
7.314,1.941,3.000,1.285,1.000
5.343,6.956,8.860,5.343,1.000
3.412,2.881,2.990,4.172,1.000
3.833,2.284,3.180,3.107,1.000
3.270,5.708,11.255,4.052,1.000
7.150,3.570,1.857,6.794,1.000
1.211,7.434,2.058,5.263,1.000
7.552,2.462,9.067,1.609,1.000
21.738,3.048,1.039,2.300,1.000
3.967,3.615,11.124,1.191,1.000
4.514,16.101,11.254,6.952,1.000
9.719,1.819,2.664,4.064,1.000
0.752,9.696,7.390,3.218,1.000
13.870,7.843,1.441,4.885,1.000
9.810,7.115,5.881,3.105,1.000
1.768,5.144,1.054,6.646,1.000
5.239,6.728,11.398,3.702,1.000
2.807,5.358,5.584,12.232,1.000
2.117,0.203,1.803,7.743,1.000
3.344,3.809,3.669,5.650,1.000
12.165,5.443,6.731,0.576,1.000
18.208,7.893,10.764,5.532,1.000
9.301,4.600,0.586,6.971,1.000
2.675,5.923,2.424,2.063,1.000
5.839,2.447,2.501,4.536,1.000
2.378,0.924,4.120,3.025,1.000
2.469,10.780,6.364,6.079,1.000
1.759,3.578,1.896,1.586,1.000
2.285,1.255,0.200,2.355,1.000
3.226,7.279,2.054,11.510,1.000
14.945,2.472,4.363,8.528,1.000
5.261,4.211,4.639,3.505,1.000
5.179,2.313,4.780,1.876,1.000
12.341,5.923,5.807,3.654,1.000
2.618,0.620,5.260,5.912,1.000
5.327,7.383,4.623,1.556,1.000
3.350,4.279,3.296,3.149,1.000
10.026,11.046,11.436,9.169,1.000
2.837,8.881,8.306,4.755,1.000
0.617,3.309,4.924,0.953,1.000
5.552,2.040,5.919,8.530,1.000
2.523,12.906,9.409,9.934,1.000
1.833,3.383,10.816,13.624,1.000
9.396,18.082,0.915,2.302,1.000
3.486,5.104,17.132,8.283,1.000
2.632,1.541,4.294,12.803,1.000
14.439,3.162,8.676,12.171,1.000
3.458,6.499,2.983,14.985,1.000
3.606,3.935,4.455,2.900,1.000
0.912,4.499,9.908,3.361,1.000
6.253,1.144,4.922,6.474,1.000
4.830,11.001,6.312,18.879,1.000
8.194,3.415,5.283,3.445,1.000
4.416,9.347,8.544,2.689,1.000
4.146,5.459,7.828,6.906,1.000
8.590,5.205,7.198,16.913,1.000
1.710,6.401,9.484,6.802,1.000
4.737,3.258,11.047,1.803,1.000
2.653,8.283,0.344,3.371,1.000
2.276,11.375,2.858,5.463,1.000
9.999,10.740,3.985,1.075,1.000
7.694,1.125,2.929,3.821,1.000
1.822,0.515,3.060,7.217,1.000
13.231,8.678,4.292,3.488,1.000
2.418,10.916,8.027,2.913,1.000
3.425,1.948,11.046,10.137,1.000
5.884,7.156,3.798,8.349,1.000
7.539,4.747,9.507,9.260,1.000
10.815,5.539,2.784,12.627,1.000
6.981,13.992,8.496,5.071,1.000
2.300,2.463,8.492,17.163,1.000
4.760,3.012,7.182,0.556,1.000
16.830,1.870,0.828,6.147,1.000
0.244,7.177,8.553,5.605,1.000
3.329,8.380,1.894,13.563,1.000
1.342,3.005,2.774,15.834,1.000
7.526,15.223,11.893,6.241,1.000
0.894,1.361,6.100,7.202,1.000
6.356,1.758,1.965,5.726,1.000
3.822,6.859,6.910,5.465,1.000
2.736,6.432,3.335,7.453,1.000
3.535,3.946,1.055,12.064,1.000
4.086,5.921,0.976,1.152,1.000
14.917,7.974,30.752,2.181,1.000
1.165,16.238,0.545,6.598,1.000
5.157,3.030,14.066,6.001,1.000
3.156,5.574,6.900,3.241,1.000
5.834,4.948,11.389,7.325,1.000
10.775,7.709,5.153,15.940,1.000
7.659,0.715,12.643,5.623,1.000
3.431,2.505,1.249,17.041,1.000
1.050,6.349,3.390,7.213,1.000
13.454,2.105,1.780,10.592,1.000
3.745,2.395,3.080,1.490,1.000
5.213,10.647,10.571,2.837,1.000
4.705,3.679,3.355,1.166,1.000
5.504,11.680,4.963,2.753,1.000
4.098,6.087,1.607,2.088,1.000
9.007,9.285,11.381,1.113,1.000
7.014,7.762,4.754,3.137,1.000
2.966,5.629,0.596,18.364,1.000
3.737,5.043,4.421,4.334,1.000
8.650,10.209,2.894,8.163,1.000
5.934,4.427,8.865,11.624,1.000
14.975,3.300,3.889,2.138,1.000
3.175,4.631,2.742,2.180,1.000
4.227,0.383,10.151,1.665,1.000
14.880,5.077,15.684,3.350,1.000
4.327,7.656,16.176,1.184,1.000
