8.187,9.204,3.918
2.055,7.606,8.186
4.030,4.192,8.063
3.342,1.590,7.227
8.312,5.333,4.971
3.575,8.607,5.867
6.517,2.297,4.451
3.290,2.207,5.913
7.831,1.984,3.363
7.914,1.707,5.074
4.678,1.447,9.532
2.102,1.510,4.609
2.857,9.310,6.153
8.225,0.412,2.547
3.464,5.954,4.073
1.265,5.044,5.650
2.636,2.266,5.066
2.846,9.731,9.819
1.192,7.750,9.082
3.737,6.251,1.592
7.850,5.551,2.147
6.709,2.359,6.341
9.325,1.088,0.756
1.193,2.656,1.445
5.935,3.365,5.013
2.651,9.575,7.268
5.379,0.873,0.504
2.631,9.052,2.180
1.907,5.311,9.870
4.586,6.239,7.404
3.671,1.118,3.022
3.449,3.591,8.171
0.195,1.624,0.285
3.797,8.722,7.135
8.866,1.868,8.139
8.826,6.041,6.795
6.241,8.630,6.142
4.702,0.571,1.730
7.499,3.487,9.319
1.362,5.750,8.883
6.764,1.783,1.794
2.354,1.809,7.247
7.887,8.085,3.492
4.016,5.837,6.057
8.171,7.409,4.305
8.046,7.294,2.179
5.333,5.385,4.438
9.507,9.333,1.583
1.759,3.757,4.127
6.317,9.824,3.198
2.947,7.505,6.773
0.049,3.416,0.894
6.133,8.638,5.030
7.857,5.252,0.217
1.820,8.426,2.585
3.978,9.306,6.236
8.746,6.315,2.057
2.093,5.781,7.657
6.850,4.550,9.597
0.168,3.676,9.658
2.454,9.316,7.712
5.712,7.817,5.628
0.900,0.197,7.642
5.783,5.484,3.000
6.320,1.054,8.914
8.381,3.168,8.536
3.412,8.143,0.173
0.116,8.815,4.747
7.438,9.299,8.066
1.525,7.091,2.710
6.301,5.153,5.911
8.356,4.514,5.556
2.066,1.071,5.806
3.227,4.891,9.616
2.987,9.927,3.982
8.618,0.453,1.073
6.965,4.496,6.279
1.529,3.188,3.688
2.333,4.599,2.621
0.979,6.609,1.963
4.187,3.414,0.996
1.033,4.247,2.449
0.006,4.537,0.769
8.149,8.030,0.186
4.767,1.199,2.833
3.194,8.567,6.050
6.252,0.969,1.765
8.185,2.836,0.146
4.480,6.846,5.645
6.171,5.897,8.817
3.216,2.983,4.013
8.357,5.961,3.257
9.315,1.162,1.023
8.665,4.766,9.769
4.665,6.252,0.749
0.840,7.001,1.860
4.672,8.108,9.073
6.959,5.975,5.903
3.610,1.578,7.822
6.588,3.178,6.901
2.506,5.575,9.841
2.105,8.342,2.626
4.838,8.173,8.201
2.552,7.314,7.773
6.471,8.664,7.879
6.599,2.190,2.160
8.587,3.042,4.068
8.878,0.176,2.540
9.839,6.074,8.282
2.609,0.783,6.929
4.359,2.050,8.497
8.108,9.101,5.499
5.596,0.946,3.531
7.620,7.348,3.050
5.572,8.351,5.198
5.014,4.253,1.999
8.360,8.638,9.893
7.171,9.599,0.325
0.931,2.867,2.765
3.368,1.102,7.791
4.012,5.722,3.755
7.587,5.132,2.790
1.047,0.314,7.096
1.299,5.281,5.916
0.903,5.299,5.608
7.559,0.950,9.706
0.907,0.981,8.472
1.702,3.820,2.475
2.169,2.314,1.229
6.366,5.544,2.875
9.538,3.896,2.365
0.175,9.295,9.440
3.052,5.588,5.085
2.610,9.612,1.775
9.540,3.057,7.890
8.088,9.842,6.155
8.549,4.928,5.993
9.229,1.139,9.959
6.679,4.289,1.383
9.783,8.944,9.651
7.509,2.974,6.822
5.309,2.399,3.148
4.363,6.639,3.731
7.158,9.887,4.800
3.300,9.979,1.429
5.436,7.782,7.177
6.296,2.147,0.227
6.031,0.409,5.076
9.808,9.698,9.621
1.359,9.376,0.601
2.783,9.466,3.703
8.232,3.238,7.062
3.950,7.738,0.157
7.467,3.387,2.236
8.753,2.048,3.029
6.569,1.153,3.014
5.211,5.899,5.877
7.783,6.718,2.368
6.911,1.977,6.059
1.929,0.529,5.689
6.539,6.827,5.851
8.829,9.441,8.789
2.584,5.512,1.746
0.628,0.073,6.915
5.650,8.935,8.863
4.438,2.303,5.874
9.551,4.875,0.414
8.273,8.468,9.309
0.922,2.639,4.179
3.710,2.457,3.740
2.116,8.111,4.915
9.780,5.747,6.203
8.065,9.198,5.223
9.676,6.771,9.878
7.751,6.196,5.206
0.063,4.732,0.314
6.242,7.251,6.283
5.513,3.207,9.533
7.956,8.421,4.508
5.028,8.599,1.288
0.685,4.772,0.272
6.625,6.134,1.441
2.949,4.804,3.053
3.301,0.912,8.025
9.160,7.796,1.330
4.114,2.807,6.442
7.704,1.150,3.835
8.714,6.486,8.974
7.276,4.720,0.988
8.202,4.755,5.537
3.497,2.631,9.907
6.102,6.082,8.899
3.050,9.034,8.712
4.852,5.894,7.147
6.876,6.599,7.727
9.956,3.477,7.017
9.756,5.078,0.322
1.968,0.765,9.231
0.592,2.492,6.413
9.975,7.104,6.141
6.953,7.662,9.411
3.622,2.542,0.984
3.034,7.178,9.639
3.933,8.259,6.932
6.373,8.980,3.489
2.979,4.620,5.880
7.748,2.070,8.248
7.343,8.046,2.943
1.773,6.373,6.379
8.008,8.479,0.270
8.695,8.724,8.610
6.528,9.091,9.114
2.756,3.444,7.361
6.942,5.864,8.484
0.731,3.006,9.785
6.132,7.208,9.969
9.981,4.528,1.203
0.822,6.769,8.775
2.814,2.880,3.495
5.277,6.734,6.801
1.637,8.586,3.567
5.343,7.583,3.424
1.838,2.456,6.298
7.031,6.428,0.683
4.087,1.791,8.691
8.924,2.189,0.973
5.648,6.376,2.717
5.039,7.179,2.614
9.190,2.283,1.158
8.759,9.111,2.960
3.434,9.443,3.979
1.884,6.715,0.903
8.831,9.463,3.079
8.397,8.535,3.071
3.541,1.670,0.835
9.153,9.993,7.066
5.711,4.552,5.409
1.813,5.419,8.369
7.232,8.562,0.783
0.730,0.732,7.188
0.931,0.021,0.593
4.152,3.189,5.819
4.611,4.996,2.611
9.762,1.784,8.598
7.829,0.621,3.220
2.226,3.854,4.122
4.813,6.408,9.749
9.037,8.904,5.494
1.426,0.924,8.486
2.787,6.538,7.899
5.988,2.296,2.066
0.144,9.309,5.731
1.913,6.788,8.491
8.711,4.989,3.989
7.585,3.775,0.533
3.796,5.289,3.063
5.617,4.095,2.144
7.367,3.978,1.680
6.336,9.970,3.642
8.217,4.622,6.299
6.778,5.610,2.587
2.995,3.782,0.139
6.296,9.905,5.246
0.756,6.901,6.394
6.056,9.961,0.431
1.756,3.435,1.283
9.566,8.906,8.005
4.923,6.616,6.339
3.015,2.297,2.931
9.382,5.398,0.291
5.235,4.295,5.935
6.325,3.080,0.587
5.324,1.403,8.169
1.889,6.387,9.226
4.900,0.440,0.496
0.470,9.797,0.912
6.781,7.874,4.420
0.992,5.332,2.316
8.755,4.386,2.771
7.279,1.581,9.100
7.351,7.627,2.580
9.720,5.685,4.719
5.966,2.074,5.652
6.108,5.975,9.758
8.996,1.296,2.266
4.880,2.412,5.354
1.900,8.144,0.241
3.817,2.442,0.101
3.822,4.213,5.741
4.402,1.923,5.516
3.291,8.835,7.373
7.926,1.330,2.045
6.185,2.075,8.277
6.676,9.298,2.920
1.943,3.282,1.734
1.847,0.360,1.120
0.975,1.242,5.789
6.849,5.310,4.874
4.630,2.945,8.194
9.862,0.312,9.160
8.510,1.851,5.959
0.225,7.124,8.129
9.463,5.313,9.428
6.628,9.761,3.913
3.889,4.398,0.477
5.948,2.460,3.429
8.073,0.537,2.926
3.668,4.376,6.181
8.666,0.016,6.956
5.749,4.952,1.293
0.329,7.883,2.479
6.351,6.728,2.851
1.440,5.117,9.733
2.579,1.181,1.111
8.741,0.359,0.693
1.019,1.481,0.156
5.470,1.810,9.484
7.139,2.985,1.304
3.417,0.027,0.871
9.404,7.898,2.484
6.470,1.782,4.041
9.451,5.715,9.053
4.660,5.182,2.807
2.792,8.696,2.945
8.487,3.091,3.982
8.165,9.947,2.993
3.621,1.293,5.690
9.605,4.348,1.454
1.594,1.134,0.659
6.380,2.396,5.658
4.681,2.515,2.607
2.520,8.897,4.999
6.435,0.776,8.437
4.498,5.097,4.311
5.870,2.893,5.305
4.905,7.527,1.447
4.712,1.072,3.384
7.882,8.038,2.515
1.143,3.448,3.951
0.449,3.821,1.991
5.319,2.478,9.443
9.255,0.638,6.410
5.636,6.086,6.912
3.456,6.062,2.266
1.468,1.744,7.173
6.313,8.657,3.338
7.116,8.210,9.863
2.384,9.575,9.537
7.107,9.130,6.850
1.040,5.843,6.375
1.300,0.178,3.601
6.950,8.846,1.279
0.521,6.515,3.349
4.419,3.580,0.212
4.008,3.170,6.870
8.232,8.909,3.859
3.952,9.169,8.630
3.772,5.325,4.469
1.184,6.009,3.131
3.435,9.786,5.948
2.980,6.470,4.024
9.300,3.709,4.659
2.758,9.956,5.438
8.189,5.638,5.791
5.726,2.399,4.029
0.339,1.127,6.891
7.804,3.714,2.018
2.899,1.335,7.253
3.048,1.895,0.704
7.330,9.785,7.520
7.972,5.566,8.649
8.571,1.343,6.903
7.521,9.480,5.986
4.859,0.962,3.335
3.113,6.939,3.422
4.502,0.465,9.297
3.686,0.185,4.084
5.938,0.443,9.660
4.085,5.455,8.411
0.641,4.245,1.864
8.758,4.893,7.802
6.463,3.599,8.202
6.506,3.274,0.242
2.876,9.781,3.519
6.211,1.165,7.819
6.200,8.814,2.227
1.179,2.860,5.722
1.794,1.069,6.476
9.649,5.869,4.270
2.670,3.137,2.636
6.030,9.794,1.935
7.900,6.004,3.804
9.883,6.366,9.995
6.714,3.257,1.194
2.792,4.392,1.000
8.232,0.170,2.094
4.463,8.748,3.992
6.686,1.655,7.604
0.565,0.664,0.137
2.146,8.501,0.821
1.558,6.725,2.705
3.201,6.626,3.472
7.489,0.227,3.667
5.352,1.910,2.570
9.825,5.491,2.482
4.488,1.313,1.691
9.149,2.966,3.821
2.167,9.377,3.672
7.051,2.235,1.727
0.423,4.668,1.843
5.522,8.827,3.697
9.176,1.097,0.177
4.179,3.481,2.992
0.192,0.792,9.680
9.518,8.152,3.506
8.450,8.935,5.790
6.280,5.800,0.448
3.204,4.083,5.311
9.721,0.249,0.022
6.009,6.500,1.254
4.870,7.442,6.100
1.948,7.119,9.544
0.564,5.148,3.366
8.729,8.985,9.933
7.152,7.260,7.770
0.815,3.344,4.539
6.516,4.647,5.206
3.631,6.226,5.397
9.144,3.211,1.219
6.095,0.872,4.442
1.125,5.323,5.007
5.825,7.997,0.579
7.388,5.608,7.569
4.314,7.460,1.145
4.893,9.116,1.730
2.723,5.446,5.911
7.043,6.729,1.231
2.439,3.556,8.267
8.468,0.693,5.537
2.731,6.704,1.921
2.694,5.016,1.232
6.565,4.056,6.430
6.448,5.325,2.121
6.071,4.290,1.237
4.850,0.367,5.395
7.221,1.449,6.696
4.292,4.881,3.616
5.135,7.548,2.912
6.861,9.821,4.547
2.846,6.495,5.836
2.279,8.680,5.660
1.011,5.188,4.487
6.365,8.884,9.927
5.675,5.137,8.607
2.264,1.338,6.705
0.461,7.993,7.466
7.571,4.584,0.746
3.045,8.906,1.988
6.084,4.583,3.266
1.362,4.020,4.553
1.425,2.544,4.594
4.247,5.273,5.362
7.796,2.063,6.459
5.293,9.136,5.272
5.092,6.536,5.482
8.926,2.277,0.889
7.041,4.040,2.572
6.412,5.278,7.230
8.196,9.340,2.949
2.179,0.494,6.921
9.799,1.796,6.848
7.752,3.162,5.147
6.939,5.598,5.308
5.543,3.691,9.773
8.458,8.796,8.891
3.253,0.754,7.221
7.963,2.015,6.901
2.305,1.389,0.538
2.007,5.542,7.144
