0.334,0.359,0.693,0.846,0.976,0.825,3.158,1.788,1.369
0.415,0.450,0.866,0.105,0.908,0.096,3.443,2.541,0.901
0.748,0.924,1.672,0.875,1.009,0.883,0.189,4.753,4.564
0.689,0.712,1.402,1.397,1.393,1.946,0.777,0.395,0.382
0.676,0.030,0.706,0.549,1.070,0.588,0.455,3.896,3.440
0.728,0.444,1.172,0.811,0.860,0.697,2.671,1.026,1.645
0.343,0.354,0.697,1.100,0.794,0.873,2.052,3.367,1.315
0.577,0.643,1.220,0.788,0.532,0.419,0.698,2.565,1.867
0.221,0.343,0.563,0.819,1.802,1.476,0.884,0.006,0.878
0.843,0.636,1.479,1.189,0.169,0.202,2.567,2.398,0.169
0.149,0.427,0.577,1.510,1.780,2.687,0.632,1.002,0.370
0.463,0.996,1.459,1.340,1.930,2.587,3.129,1.777,1.352
0.355,0.032,0.386,1.314,0.425,0.559,2.157,3.495,1.338
0.234,0.704,0.938,0.499,1.129,0.563,3.436,1.504,1.932
0.891,0.914,1.806,1.981,0.774,1.532,1.560,0.219,1.341
0.513,0.058,0.571,0.846,1.760,1.489,1.097,4.397,3.300
0.673,0.586,1.259,1.991,1.357,2.701,2.345,3.236,0.890
0.791,0.369,1.160,0.147,1.233,0.181,0.270,3.649,3.379
0.039,0.484,0.523,1.306,1.011,1.320,3.707,3.713,0.006
0.246,0.279,0.525,0.733,0.724,0.530,1.132,0.717,0.415
0.726,0.017,0.743,0.382,1.121,0.429,3.331,4.356,1.025
0.380,0.564,0.944,0.179,0.751,0.134,4.599,4.593,0.006
0.449,0.775,1.224,0.185,1.824,0.337,4.590,0.555,4.035
0.034,0.137,0.171,0.198,0.649,0.128,3.358,2.792,0.566
0.456,0.025,0.481,1.407,1.100,1.548,0.166,0.540,0.374
0.440,0.638,1.078,1.704,0.696,1.187,4.855,4.933,0.077
0.552,0.171,0.723,1.344,0.456,0.612,4.804,3.761,1.043
0.753,0.005,0.758,1.012,1.017,1.029,0.081,3.354,3.273
0.744,0.820,1.563,0.407,0.902,0.367,0.648,4.759,4.111
0.921,0.793,1.714,1.423,1.181,1.680,0.269,2.921,2.652
0.376,0.086,0.462,0.117,1.671,0.195,1.559,3.138,1.579
0.631,0.204,0.835,1.900,1.053,2.001,3.068,3.304,0.237
0.059,0.818,0.877,0.654,0.822,0.538,3.857,2.300,1.558
0.855,0.206,1.061,1.070,0.272,0.291,2.486,1.011,1.475
