0.927,1.854
0.991,1.982
0.885,1.770
0.879,1.758
0.429,0.858
0.591,1.182
0.794,1.588
0.491,0.982
0.230,0.459
0.410,0.820
0.935,1.869
0.044,0.088
0.374,0.748
0.328,0.657
0.579,1.157
0.650,1.300
1.000,2.000
0.689,1.378
0.884,1.768
0.880,1.761
0.556,1.111
0.258,0.516
0.610,1.220
0.029,0.057
0.991,1.983
0.732,1.463
0.306,0.613
0.020,0.039
0.703,1.406
0.752,1.504
0.023,0.046
0.674,1.348
0.276,0.552
0.515,1.030
0.424,0.849
0.787,1.575
0.096,0.192
0.702,1.405
0.799,1.598
0.578,1.155
0.934,1.868
0.783,1.565
0.409,0.818
0.685,1.369
0.870,1.741
0.332,0.664
0.676,1.352
0.577,1.153
0.534,1.068
0.691,1.381
0.010,0.020
0.940,1.880
0.096,0.191
0.875,1.750
0.245,0.489
0.357,0.714
0.097,0.195
0.752,1.504
0.269,0.537
0.657,1.314
0.748,1.497
0.814,1.627
0.270,0.539
0.654,1.309
0.477,0.954
0.978,1.957
0.468,0.936
0.154,0.308
0.279,0.558
0.199,0.398
0.082,0.163
0.981,1.963
0.719,1.437
0.806,1.613
0.747,1.493
0.985,1.970
0.928,1.856
0.192,0.385
0.631,1.263
0.476,0.953
0.282,0.565
0.338,0.677
0.948,1.897
0.491,0.981
0.236,0.473
0.423,0.846
0.651,1.303
0.125,0.250
0.708,1.417
0.908,1.817
0.441,0.883
0.364,0.727
0.868,1.736
0.581,1.162
0.237,0.473
0.248,0.495
0.841,1.681
0.480,0.959
0.991,1.981
0.793,1.587
0.082,0.164
0.353,0.707
0.952,1.904
0.241,0.482
0.523,1.046
0.735,1.469
0.338,0.676
0.171,0.343
0.674,1.348
0.397,0.793
0.393,0.786
0.664,1.328
0.984,1.968
0.739,1.478
0.805,1.609
0.839,1.679
0.374,0.748
0.869,1.738
0.340,0.680
0.508,1.016
0.030,0.060
0.148,0.295
0.269,0.539
0.045,0.090
0.187,0.374
0.137,0.274
0.747,1.494
0.105,0.210
0.339,0.679
0.179,0.359
0.278,0.557
0.859,1.719
0.661,1.323
0.049,0.098
0.205,0.411
0.413,0.827
0.886,1.771
0.422,0.844
0.885,1.770
0.157,0.315
0.575,1.150
0.432,0.865
0.898,1.796
0.212,0.425
0.465,0.931
0.197,0.394
0.430,0.861
0.612,1.225
0.076,0.152
0.408,0.817
0.371,0.742
0.958,1.916
0.499,0.997
0.265,0.530
0.055,0.109
0.803,1.606
0.766,1.532
0.449,0.898
0.133,0.266
0.380,0.761
0.541,1.082
0.334,0.668
0.097,0.195
0.016,0.033
0.554,1.108
0.088,0.177
0.495,0.990
0.038,0.077
0.841,1.682
0.101,0.202
0.308,0.617
0.657,1.315
0.544,1.088
0.471,0.943
0.291,0.583
0.536,1.072
0.938,1.875
0.722,1.444
0.802,1.605
0.861,1.721
0.871,1.743
0.707,1.413
0.521,1.043
0.726,1.452
0.896,1.792
0.792,1.584
0.926,1.852
0.679,1.357
0.178,0.355
0.141,0.283
0.838,1.675
0.100,0.200
0.052,0.105
0.820,1.640
0.350,0.700
0.376,0.753
0.639,1.278
0.732,1.464
0.413,0.827
0.873,1.745
0.653,1.307
0.850,1.700
0.490,0.981
0.094,0.188
0.195,0.389
0.891,1.783
0.272,0.544
0.516,1.032
0.528,1.057
0.460,0.921
0.336,0.672
0.862,1.724
0.744,1.487
0.099,0.197
0.660,1.320
0.261,0.521
0.721,1.442
0.210,0.419
0.295,0.590
0.821,1.643
0.166,0.332
0.954,1.909
0.530,1.061
0.725,1.451
0.091,0.183
0.203,0.406
0.131,0.262
0.580,1.161
0.028,0.057
0.738,1.476
0.343,0.685
0.143,0.286
0.665,1.329
0.262,0.525
0.113,0.227
0.082,0.165
0.212,0.424
0.129,0.259
0.768,1.537
0.087,0.175
0.995,1.990
0.073,0.146
0.494,0.987
0.249,0.498
0.734,1.468
0.861,1.723
0.487,0.975
0.930,1.860
0.508,1.016
0.780,1.560
0.486,0.973
0.754,1.509
0.120,0.240
0.586,1.172
0.074,0.149
0.540,1.081
0.154,0.309
0.843,1.686
0.566,1.132
0.536,1.073
0.030,0.061
0.814,1.629
0.666,1.332
0.736,1.472
0.333,0.666
0.596,1.191
0.501,1.002
0.926,1.853
0.217,0.434
0.737,1.473
0.687,1.374
0.753,1.505
0.022,0.044
0.556,1.112
0.156,0.311
0.111,0.222
0.679,1.359
0.811,1.621
0.792,1.584
0.695,1.391
0.921,1.842
0.356,0.712
0.336,0.672
0.760,1.521
0.871,1.741
0.854,1.709
0.248,0.496
0.308,0.616
0.245,0.490
0.866,1.732
0.501,1.002
0.513,1.026
0.039,0.078
0.944,1.889
0.041,0.082
0.445,0.890
0.508,1.017
0.186,0.372
0.838,1.677
0.792,1.584
0.006,0.011
0.504,1.008
0.009,0.019
0.611,1.223
0.502,1.005
0.028,0.055
0.870,1.741
0.128,0.255
0.096,0.192
0.647,1.293
0.165,0.331
0.391,0.782
0.100,0.201
0.622,1.245
0.774,1.549
0.648,1.297
0.369,0.738
0.636,1.273
0.604,1.208
0.925,1.850
0.854,1.708
0.411,0.823
0.288,0.576
0.207,0.413
0.007,0.014
0.896,1.791
0.156,0.313
0.380,0.760
0.117,0.235
0.020,0.039
0.056,0.112
0.409,0.819
0.706,1.411
0.720,1.441
0.697,1.393
0.478,0.956
0.128,0.256
0.932,1.864
0.577,1.155
0.414,0.828
0.762,1.524
0.685,1.369
0.452,0.904
0.673,1.345
