0.600,0.000,0.000,0.000,0.000,0.600,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000
98.700,1.300,0.000,1.300,0.000,100.000,1.300
97.300,2.700,0.000,5.300,0.000,100.000,5.300
2.700,0.000,0.000,0.000,0.000,2.700,0.000
97.000,3.000,0.000,0.000,3.000,100.000,0.000
96.300,3.200,0.000,1.400,4.200,99.500,1.400
96.000,4.000,0.000,4.000,0.000,100.000,4.000
95.300,4.700,0.000,4.700,0.000,100.000,4.700
94.500,5.000,0.000,7.400,2.700,99.500,7.400
4.400,0.000,0.000,0.000,0.000,4.400,0.000
94.100,1.500,0.500,0.000,1.500,95.600,0.500
9.800,0.000,0.000,0.000,0.000,9.800,0.000
10.200,0.000,0.000,0.000,0.000,10.200,0.000
88.500,10.900,0.000,10.900,0.000,99.400,10.900
87.800,11.700,0.500,17.000,7.400,99.500,17.500
12.200,0.000,0.000,0.000,0.000,12.200,0.000
10.800,0.500,0.000,1.100,0.000,11.300,1.100
86.700,13.300,0.000,0.000,13.300,100.000,0.000
13.900,0.000,0.000,0.000,0.000,13.900,0.000
12.900,1.500,0.000,1.500,0.000,14.400,1.500
14.000,0.000,0.000,0.000,0.000,14.000,0.000
85.200,13.400,1.300,23.800,5.800,98.600,25.100
14.100,0.500,0.000,0.000,0.500,14.600,0.000
15.400,0.000,0.000,0.000,0.000,15.400,0.000
13.400,1.900,0.800,3.300,1.200,15.300,4.100
17.300,0.000,0.000,0.000,0.000,17.300,0.000
17.100,0.500,0.000,1.100,0.000,17.600,1.100
81.800,15.700,1.700,23.100,10.100,97.500,24.800
79.500,20.500,0.000,0.000,20.500,100.000,0.000
20.000,1.500,0.000,0.000,1.500,21.500,0.000
21.600,0.000,0.000,0.000,0.000,21.600,0.000
73.000,25.200,0.900,0.000,25.200,98.200,0.900
72.900,24.600,2.500,27.400,22.800,97.500,29.900
72.000,24.000,4.000,24.000,0.000,96.000,28.000
71.400,28.600,0.000,0.000,28.600,100.000,0.000
26.900,2.100,0.000,1.800,2.300,29.000,1.800
25.800,3.000,0.500,5.700,0.900,28.800,6.200
69.600,30.400,0.000,34.200,26.800,100.000,34.200
28.800,2.100,0.000,2.200,0.000,30.900,2.200
26.400,4.600,0.300,8.700,0.600,31.000,9.000
67.700,30.600,0.000,52.200,17.900,98.300,52.200
